,Year,Country,Participant,Song,Points,Competition,Qualified,Rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
113,2022,United Kingdom,Sam Ryder,SPACE MAN,466,Grand Final,NaN,2nd,0.467,0.828,11,-2.22,1,0.0489,0.181,0,0.102,0.334,79.978,217320
114,2022,Poland,Ochman,River,151,Grand Final,NaN,12th,0.509,0.673,8,-4.769,1,0.0391,0.561,0,0.116,0.326,139.862,180202
115,2022,Serbia,Konstrakta,In Corpore Sano,312,Grand Final,NaN,5th,0.922,0.705,0,-7.457,1,0.0841,0.00641,1.47e-05,0.169,0.629,135.944,179483
116,2022,Estonia,Stefan,Hope,141,Grand Final,NaN,13th,0.216,0.0797,2,-24.843,1,0.0523,0.851,9.44e-05,0.146,0.37,64.079,220893
117,2021,Lithuania,The Roop,Discoteque,203,First Semi-Final,yes,4th,0.826,0.799,5,-6.12,1,0.0594,0.0477,0.00206,0.125,0.628,115.004,180522
118,2021,Slovenia,Ana Soklič,Amen,44,First Semi-Final,no,13th,0.448,0.397,8,-10.007,0,0.0478,0.476,0.000272,0.149,0.206,80.56,184704
119,2021,Russia,Manizha,Russian Woman,225,First Semi-Final,yes,3rd,0.89,0.701,4,-7.061,0,0.194,0.204,0,0.0741,0.652,102.001,176878
120,2021,Sweden,Tusse,Voices,142,First Semi-Final,yes,7th,0.503,0.759,10,-5.222,0,0.0423,0.00237,1.06e-06,0.13,0.396,90.015,184000
121,2021,Australia,Montaigne,Technicolour,28,First Semi-Final,no,14th,0.665,0.567,9,-5.662,0,0.0338,0.0656,0,0.269,0.274,118.965,169274
122,2021,North Macedonia,Vasil,Here I Stand,23,First Semi-Final,no,15th,0.322,0.195,7,-11.396,1,0.0365,0.512,0,0.318,0.133,137.77,180501
123,2021,Ireland,Lesley Roy,MAPS,20,First Semi-Final,no,16th,0.543,0.833,7,-6.987,1,0.0416,0.0212,0,0.36,0.547,143.002,172123
124,2021,Cyprus,Elena Tsagrinou,El Diablo,170,First Semi-Final,yes,6th,0.662,0.663,9,-7.782,0,0.132,0.00387,0,0.835,0.616,113.986,181547
125,2021,Norway,TIX,Fallen Angel,115,First Semi-Final,yes,10th,0.542,0.647,1,-4.973,1,0.0277,0.071,0,0.108,0.281,92.999,173786
126,2021,Croatia,Albina,Tick-Tock,110,First Semi-Final,no,11th,0.765,0.758,4,-5.432,0,0.0352,0.0503,0.00068,0.343,0.76,125.979,180000
127,2021,Belgium,Hooverphonic,The Wrong Place,117,First Semi-Final,yes,9th,0.491,0.728,5,-4.482,1,0.0428,0.0479,1.38e-06,0.16,0.246,80.239,176507
128,2021,Israel,Eden Alene,Set Me Free,192,First Semi-Final,yes,5th,0.752,0.664,1,-7.392,0,0.0775,0.28,0,0.102,0.468,107.02,179439
129,2021,Romania,ROXEN,Amnesia,85,First Semi-Final,no,12th,0.582,0.693,10,-5.522,0,0.135,0.125,1.38e-06,0.158,0.245,119.626,174125
130,2021,Azerbaijan,Efendi,Mata Hari,138,First Semi-Final,yes,8th,0.706,0.675,4,-5.756,0,0.0386,0.0128,0.000355,0.263,0.463,99.942,160981
131,2021,Ukraine,Go_A,Shum,267,First Semi-Final,yes,2nd,0.527,0.736,4,-5.341,1,0.0638,0.05,7.89e-05,0.105,0.503,117.657,172675
